date	NewClinicalCase	Received_Treatment	Received_Campaign_Drugs	Received_RCD_Drugs	Received_ITN
20140701	0	0	NaN	0	NaN
20140702	0	0	NaN	0	NaN
20140703	0	0	NaN	0	NaN
20140704	0	0	NaN	0	NaN
20140705	0	0	NaN	0	NaN
20140706	0	0	NaN	0	NaN
20140707	0	0	NaN	0	NaN
20140708	0	0	NaN	0	NaN
20140709	0	0	NaN	0	NaN
20140710	0	0	NaN	0	NaN
20140711	1	0	NaN	0	NaN
20140712	0	0	NaN	0	NaN
20140713	0	0	NaN	0	NaN
20140714	0	0	NaN	0	NaN
20140715	0	0	NaN	0	NaN
20140716	0	0	NaN	0	NaN
20140717	0	0	NaN	0	NaN
20140718	0	0	NaN	0	NaN
20140719	0	0	NaN	0	NaN
20140720	0	0	NaN	0	NaN
20140721	0	0	NaN	0	NaN
20140722	0	0	NaN	0	NaN
20140723	0	0	NaN	0	NaN
20140724	0	0	NaN	0	NaN
20140725	0	0	NaN	0	NaN
20140726	0	0	NaN	0	NaN
20140727	1	0	NaN	0	NaN
20140728	0	0	NaN	0	NaN
20140729	0	0	NaN	0	NaN
20140730	0	0	NaN	0	NaN
20140731	0	0	NaN	0	NaN
20140801	0	0	NaN	0	NaN
20140802	0	0	NaN	0	NaN
20140803	0	0	NaN	0	NaN
20140804	0	0	NaN	0	NaN
20140805	0	0	NaN	0	NaN
20140806	0	0	NaN	0	NaN
20140807	0	0	NaN	0	NaN
20140808	0	0	NaN	0	NaN
20140809	0	0	NaN	0	NaN
20140810	0	0	NaN	0	NaN
20140811	0	0	NaN	0	NaN
20140812	0	0	NaN	0	NaN
20140813	0	0	NaN	0	NaN
20140814	0	0	NaN	0	NaN
20140815	0	0	NaN	0	NaN
20140816	0	0	NaN	0	NaN
20140817	0	0	NaN	0	NaN
20140818	0	0	NaN	0	NaN
20140819	0	0	NaN	0	NaN
20140820	0	0	NaN	0	NaN
20140821	0	0	NaN	0	NaN
20140822	0	0	NaN	0	NaN
20140823	0	0	NaN	0	NaN
20140824	0	0	NaN	0	NaN
20140825	0	0	NaN	0	NaN
20140826	0	0	NaN	0	NaN
20140827	0	0	NaN	0	NaN
20140828	0	0	NaN	0	NaN
20140829	0	0	NaN	0	NaN
20140830	0	0	NaN	0	NaN
20140831	0	0	NaN	0	NaN
20140901	0	0	NaN	0	418
20140902	0	0	NaN	0	NaN
20140903	0	0	NaN	0	NaN
20140904	0	0	NaN	0	NaN
20140905	0	0	NaN	0	NaN
20140906	0	0	NaN	0	NaN
20140907	0	0	NaN	0	NaN
20140908	0	0	NaN	0	NaN
20140909	0	0	NaN	0	NaN
20140910	0	0	NaN	0	NaN
20140911	0	0	NaN	0	NaN
20140912	0	0	NaN	0	NaN
20140913	0	0	NaN	0	NaN
20140914	0	0	NaN	0	NaN
20140915	0	0	NaN	0	NaN
20140916	0	0	NaN	0	NaN
20140917	0	0	NaN	0	NaN
20140918	0	0	NaN	0	NaN
20140919	0	0	NaN	0	NaN
20140920	0	0	NaN	0	NaN
20140921	0	0	NaN	0	NaN
20140922	0	0	NaN	0	NaN
20140923	0	0	NaN	0	NaN
20140924	0	0	NaN	0	NaN
20140925	0	0	NaN	0	NaN
20140926	0	0	NaN	0	NaN
20140927	1	0	NaN	0	NaN
20140928	0	0	NaN	0	NaN
20140929	1	0	NaN	0	NaN
20140930	0	0	NaN	0	NaN
20141001	0	0	NaN	0	NaN
20141002	1	0	NaN	0	NaN
20141003	0	1	NaN	0	NaN
20141004	0	0	NaN	1	NaN
20141005	0	0	NaN	0	NaN
20141006	0	0	NaN	0	NaN
20141007	0	0	NaN	0	NaN
20141008	0	0	NaN	0	NaN
20141009	0	0	NaN	0	NaN
20141010	0	0	NaN	0	NaN
20141011	0	0	NaN	0	NaN
20141012	0	0	NaN	0	NaN
20141013	0	0	NaN	0	NaN
20141014	0	0	NaN	0	NaN
20141015	0	0	NaN	0	NaN
20141016	0	0	NaN	0	NaN
20141017	0	0	NaN	0	NaN
20141018	0	0	NaN	0	NaN
20141019	0	0	NaN	0	NaN
20141020	0	0	NaN	0	NaN
20141021	0	0	NaN	0	NaN
20141022	1	0	NaN	0	NaN
20141023	0	0	NaN	0	NaN
20141024	0	0	NaN	0	NaN
20141025	0	0	NaN	0	NaN
20141026	0	0	NaN	0	NaN
20141027	0	0	NaN	0	NaN
20141028	0	0	NaN	0	NaN
20141029	0	0	NaN	0	NaN
20141030	0	0	NaN	0	NaN
20141031	0	0	NaN	0	NaN
20141101	1	0	NaN	0	NaN
20141102	0	0	NaN	0	NaN
20141103	1	0	NaN	0	NaN
20141104	0	0	NaN	0	NaN
20141105	0	0	NaN	0	NaN
20141106	1	0	NaN	0	NaN
20141107	1	0	NaN	0	NaN
20141108	0	0	NaN	0	NaN
20141109	1	0	NaN	0	NaN
20141110	0	1	NaN	0	NaN
20141111	1	0	NaN	2	NaN
20141112	3	1	NaN	0	NaN
20141113	0	1	NaN	3	NaN
20141114	2	1	NaN	2	NaN
20141115	0	1	NaN	0	NaN
20141116	3	1	NaN	0	NaN
20141117	0	1	NaN	0	NaN
20141118	2	0	NaN	0	NaN
20141119	2	1	NaN	0	NaN
20141120	3	1	NaN	1	NaN
20141121	3	4	NaN	3	NaN
20141122	2	1	NaN	8	NaN
20141123	3	0	NaN	2	NaN
20141124	0	3	NaN	0	NaN
20141125	3	0	NaN	7	NaN
20141126	1	1	NaN	0	NaN
20141127	2	1	NaN	0	NaN
20141128	1	0	NaN	3	NaN
20141129	0	1	NaN	0	NaN
20141130	2	1	NaN	0	NaN
20141201	1	1	1175	0	NaN
20141202	1	0	NaN	0	NaN
20141203	0	1	NaN	0	NaN
20141204	0	1	NaN	1	NaN
20141205	0	0	NaN	0	NaN
20141206	0	0	NaN	0	NaN
20141207	0	0	NaN	0	NaN
20141208	1	0	NaN	0	NaN
20141209	1	0	NaN	0	NaN
20141210	0	0	NaN	0	NaN
20141211	0	0	NaN	0	NaN
20141212	0	0	NaN	0	NaN
20141213	0	0	NaN	0	NaN
20141214	1	0	NaN	0	NaN
20141215	0	1	NaN	0	NaN
20141216	0	0	NaN	1	NaN
20141217	0	0	NaN	0	NaN
20141218	0	0	NaN	0	NaN
20141219	0	0	NaN	0	NaN
20141220	2	0	NaN	0	NaN
20141221	0	1	NaN	0	NaN
20141222	1	1	NaN	3	NaN
20141223	0	0	NaN	0	NaN
20141224	0	0	NaN	0	NaN
20141225	0	0	NaN	0	NaN
20141226	0	0	NaN	0	NaN
20141227	0	0	NaN	0	NaN
20141228	1	0	NaN	0	NaN
20141229	0	0	NaN	0	NaN
20141230	0	0	NaN	0	NaN
20141231	0	0	NaN	0	NaN
20150101	1	0	NaN	0	NaN
20150102	0	2	NaN	0	NaN
20150103	1	0	NaN	1	NaN
20150104	0	0	NaN	0	NaN
20150105	2	0	NaN	0	NaN
20150106	0	1	NaN	0	NaN
20150107	0	0	NaN	2	NaN
20150108	0	0	NaN	0	NaN
20150109	0	0	NaN	0	NaN
20150110	0	0	NaN	0	NaN
20150111	1	0	NaN	0	NaN
20150112	1	0	NaN	0	NaN
20150113	0	0	NaN	0	NaN
20150114	1	0	NaN	0	NaN
20150115	1	0	NaN	0	NaN
20150116	0	0	NaN	0	NaN
20150117	0	1	NaN	0	NaN
20150118	1	0	NaN	4	NaN
20150119	0	2	NaN	0	NaN
20150120	0	0	NaN	0	NaN
20150121	0	0	NaN	0	NaN
20150122	1	0	NaN	0	NaN
20150123	0	2	NaN	0	NaN
20150124	0	0	NaN	0	NaN
20150125	0	1	NaN	0	NaN
20150126	0	0	NaN	5	NaN
20150127	0	0	NaN	0	NaN
20150128	1	0	NaN	0	NaN
20150129	1	1	NaN	0	NaN
20150130	1	0	1140	0	NaN
20150131	0	1	NaN	0	NaN
20150201	0	0	NaN	0	NaN
20150202	0	0	NaN	0	NaN
20150203	0	0	NaN	0	NaN
20150204	0	0	NaN	0	NaN
20150205	0	0	NaN	0	NaN
20150206	0	0	NaN	0	NaN
20150207	0	0	NaN	0	NaN
20150208	0	0	NaN	0	NaN
20150209	0	0	NaN	0	NaN
20150210	0	1	NaN	0	NaN
20150211	0	0	NaN	0	NaN
20150212	0	0	NaN	0	NaN
20150213	0	0	NaN	0	NaN
20150214	0	0	NaN	0	NaN
20150215	0	0	NaN	0	NaN
20150216	0	0	NaN	0	NaN
20150217	0	0	NaN	0	NaN
20150218	0	0	NaN	0	NaN
20150219	0	0	NaN	0	NaN
20150220	0	0	NaN	0	NaN
20150221	1	0	NaN	0	NaN
20150222	1	0	NaN	0	NaN
20150223	0	0	NaN	0	NaN
20150224	0	0	NaN	0	NaN
20150225	0	1	NaN	0	NaN
20150226	0	0	NaN	0	NaN
20150227	0	0	NaN	0	NaN
20150228	1	0	NaN	0	NaN
20150301	0	0	NaN	0	NaN
20150302	0	0	NaN	0	NaN
20150303	1	0	NaN	0	NaN
20150304	0	0	NaN	0	NaN
20150305	0	0	NaN	0	NaN
20150306	0	0	NaN	0	NaN
20150307	1	0	NaN	0	NaN
20150308	0	0	NaN	0	NaN
20150309	0	0	NaN	0	NaN
20150310	0	0	NaN	0	NaN
20150311	0	0	NaN	0	NaN
20150312	0	0	NaN	0	NaN
20150313	0	0	NaN	0	NaN
20150314	0	0	NaN	0	NaN
20150315	0	0	NaN	0	NaN
20150316	0	0	NaN	0	NaN
20150317	0	0	NaN	0	NaN
20150318	0	0	NaN	0	NaN
20150319	0	0	NaN	0	NaN
20150320	0	0	NaN	0	NaN
20150321	0	0	NaN	0	NaN
20150322	0	0	NaN	0	NaN
20150323	0	0	NaN	0	NaN
20150324	0	0	NaN	0	NaN
20150325	0	0	NaN	0	NaN
20150326	0	0	NaN	0	NaN
20150327	0	0	NaN	0	NaN
20150328	0	0	NaN	0	NaN
20150329	0	0	NaN	0	NaN
20150330	0	0	NaN	0	NaN
20150331	0	0	NaN	0	NaN
20150401	0	0	NaN	0	NaN
20150402	0	0	NaN	0	NaN
20150403	0	0	NaN	0	NaN
20150404	1	0	NaN	0	NaN
20150405	1	1	NaN	0	NaN
20150406	0	0	NaN	1	NaN
20150407	0	1	NaN	0	NaN
20150408	0	0	NaN	2	NaN
20150409	0	0	NaN	0	NaN
20150410	0	0	NaN	0	NaN
20150411	0	0	NaN	0	NaN
20150412	0	0	NaN	0	NaN
20150413	0	0	NaN	0	NaN
20150414	0	0	NaN	0	NaN
20150415	0	0	NaN	0	NaN
20150416	0	0	NaN	0	NaN
20150417	0	0	NaN	0	NaN
20150418	1	0	NaN	0	NaN
20150419	1	1	NaN	0	NaN
20150420	0	0	NaN	1	NaN
20150421	0	0	NaN	0	NaN
20150422	0	0	NaN	0	NaN
20150423	0	0	NaN	0	NaN
20150424	0	0	NaN	0	NaN
20150425	0	0	NaN	0	NaN
20150426	0	0	NaN	0	NaN
20150427	0	0	NaN	0	NaN
20150428	1	0	NaN	0	NaN
20150429	0	0	NaN	0	NaN
20150430	0	0	NaN	0	NaN
20150501	1	0	NaN	0	NaN
20150502	0	0	NaN	0	NaN
20150503	1	1	NaN	0	NaN
20150504	0	0	NaN	0	NaN
20150505	0	1	NaN	0	NaN
20150506	0	0	NaN	1	NaN
20150507	1	0	NaN	0	NaN
20150508	0	1	NaN	0	NaN
20150509	0	0	NaN	2	NaN
20150510	0	0	NaN	0	NaN
20150511	0	0	NaN	0	NaN
20150512	0	0	NaN	0	NaN
20150513	1	0	NaN	0	NaN
20150514	0	0	NaN	0	NaN
20150515	0	0	NaN	0	NaN
20150516	0	0	NaN	0	NaN
20150517	0	1	NaN	0	NaN
20150518	0	0	NaN	2	NaN
20150519	0	0	NaN	0	NaN
20150520	0	0	NaN	0	NaN
20150521	1	0	NaN	0	NaN
20150522	0	1	NaN	0	NaN
20150523	0	0	NaN	0	NaN
20150524	0	0	NaN	0	NaN
20150525	0	0	NaN	0	NaN
20150526	0	0	NaN	0	NaN
20150527	0	0	NaN	0	NaN
20150528	0	0	NaN	0	NaN
20150529	0	0	NaN	0	NaN
20150530	0	0	NaN	0	NaN
20150531	0	0	NaN	0	NaN
20150601	0	0	NaN	0	NaN
20150602	1	0	NaN	0	NaN
20150603	0	0	NaN	0	NaN
20150604	0	0	NaN	0	NaN
20150605	0	1	NaN	0	NaN
20150606	0	0	NaN	0	NaN
20150607	0	0	NaN	0	NaN
20150608	0	0	NaN	0	NaN
20150609	0	0	NaN	0	NaN
20150610	0	0	NaN	0	NaN
20150611	0	0	NaN	0	NaN
20150612	0	0	NaN	0	NaN
20150613	0	0	NaN	0	NaN
20150614	0	0	NaN	0	NaN
20150615	0	0	NaN	0	NaN
20150616	0	0	NaN	0	NaN
20150617	0	0	NaN	0	NaN
20150618	0	0	NaN	0	NaN
20150619	0	0	NaN	0	NaN
20150620	0	0	NaN	0	NaN
20150621	0	0	NaN	0	NaN
20150622	0	0	NaN	0	NaN
20150623	0	0	NaN	0	NaN
20150624	0	0	NaN	0	NaN
20150625	0	0	NaN	0	NaN
20150626	0	0	NaN	0	NaN
20150627	0	0	NaN	0	NaN
20150628	1	0	NaN	0	NaN
20150629	0	0	NaN	0	NaN
20150630	0	0	NaN	0	NaN
